date,gross_pnl,cost,pnl,turnover
2011-01-31,0.08604579661318366,0.0019999999999999996,0.08404579661318366,1.9999999999999998
2011-02-28,0.009182471487407196,0.0009999999999999998,0.008182471487407196,0.9999999999999999
2011-03-31,-0.021554849915007203,0.0009999999999999998,-0.022554849915007204,0.9999999999999999
2011-04-29,-0.023844400475707777,0.0003333333333333333,-0.024177733809041112,0.3333333333333333
2011-05-31,0.00459196441637953,0.0016666666666666668,0.0029252977497128633,1.6666666666666667
2011-06-30,-0.030334110189567085,0.0009999999999999998,-0.03133411018956708,0.9999999999999999
2011-07-29,-0.03291427196657343,0.0013333333333333335,-0.03424760529990676,1.3333333333333335
2011-08-31,-0.004077736543133519,0.0013333333333333333,-0.005411069876466852,1.3333333333333333
2011-09-30,-0.08984998545487675,0.0016666666666666668,-0.09151665212154342,1.6666666666666667
2011-10-31,0.0005903146598710109,0.0009999999999999998,-0.0004096853401289889,0.9999999999999999
2011-11-30,0.02444254118117365,0.0006666666666666666,0.023775874514506985,0.6666666666666666
2011-12-30,-0.1058265552892103,0.0006666666666666666,-0.10649322195587696,0.6666666666666666
2012-01-31,0.011667753934430952,0.0013333333333333333,0.010334420601097618,1.3333333333333333
2012-02-29,-0.03675835562545289,0.0013333333333333333,-0.03809168895878622,1.3333333333333333
2012-03-30,0.03680250960580692,0.001,0.03580250960580692,1.0
2012-04-30,0.06391503555670729,0.0013333333333333335,0.06258170222337395,1.3333333333333335
2012-05-31,-0.028539004143299268,0.0009999999999999998,-0.02953900414329927,0.9999999999999999
2012-06-29,0.042772812595152726,0.0009999999999999998,0.041772812595152725,0.9999999999999999
2012-07-31,-0.016046006832004685,0.0006666666666666666,-0.01671267349867135,0.6666666666666666
2012-08-31,0.006403120728492213,0.0006666666666666666,0.005736454061825546,0.6666666666666666
2012-09-28,-0.004497118572830787,0.0013333333333333333,-0.00583045190616412,1.3333333333333333
2012-10-31,0.013659910956977757,0.001,0.012659910956977757,1.0
2012-11-30,-0.04721722153646468,0.0006666666666666666,-0.04788388820313135,0.6666666666666666
2012-12-31,-0.025792078621104993,0.0013333333333333333,-0.027125411954438326,1.3333333333333333
2013-01-31,0.0006126595660883961,0.001,-0.00038734043391160393,1.0
2013-02-28,0.01648480758176133,0.0009999999999999998,0.015484807581761332,0.9999999999999999
2013-03-28,-0.01610935566033228,0.0009999999999999998,-0.01710935566033228,0.9999999999999999
2013-04-30,-0.009463303711860362,0.0,-0.009463303711860362,0.0
2013-05-31,0.0062118130660058935,0.0009999999999999998,0.0052118130660058935,0.9999999999999999
2013-06-28,0.015643525822867727,0.0013333333333333333,0.014310192489534393,1.3333333333333333
2013-07-31,-0.04477762092190313,0.0013333333333333333,-0.04611095425523646,1.3333333333333333
2013-08-30,0.04675103157587607,0.0009999999999999998,0.04575103157587607,0.9999999999999999
2013-09-30,0.02090093616861029,0.0013333333333333333,0.01956760283527696,1.3333333333333333
2013-10-31,-0.00928070620663148,0.0013333333333333333,-0.010614039539964815,1.3333333333333333
2013-11-29,0.0037075349204544854,0.0013333333333333335,0.002374201587121152,1.3333333333333335
2013-12-31,-0.022821401445637324,0.0009999999999999998,-0.023821401445637325,0.9999999999999999
2014-01-31,0.03296724743972007,0.001,0.03196724743972007,1.0
2014-02-28,-0.057073472981859344,0.0016666666666666668,-0.05874013964852601,1.6666666666666667
2014-03-31,-0.05949652997045829,0.0016666666666666668,-0.06116319663712495,1.6666666666666667
2014-04-30,0.0436423274666284,0.0006666666666666666,0.04297566079996173,0.6666666666666666
2014-05-30,-0.01309216357421794,0.002333333333333333,-0.015425496907551272,2.333333333333333
2014-06-30,-0.03156939174984937,0.0013333333333333333,-0.032902725083182705,1.3333333333333333
2014-07-31,0.05609056937907114,0.0013333333333333333,0.05475723604573781,1.3333333333333333
2014-08-29,-0.02602727516137998,0.0016666666666666668,-0.02769394182804665,1.6666666666666667
2014-09-30,0.06092784529206374,0.0013333333333333333,0.05959451195873041,1.3333333333333333
2014-10-31,-0.0002921838948759872,0.0013333333333333333,-0.0016255172282093205,1.3333333333333333
2014-11-28,0.02104069736054535,0.0009999999999999998,0.02004069736054535,0.9999999999999999
2014-12-31,-0.009946539995122666,0.0009999999999999998,-0.010946539995122665,0.9999999999999999
2015-01-30,-0.020826666305628273,0.0016666666666666668,-0.02249333297229494,1.6666666666666667
2015-02-27,0.03132449652557884,0.0003333333333333333,0.030991163192245503,0.3333333333333333
2015-03-31,-0.06663642526959353,0.0013333333333333333,-0.06796975860292687,1.3333333333333333
2015-04-30,0.04339009199479076,0.0006666666666666666,0.04272342532812409,0.6666666666666666
2015-05-29,0.0076994663561080765,0.0006666666666666666,0.0070327996894414095,0.6666666666666666
2015-06-30,0.05658048547632679,0.0006666666666666666,0.05591381880966012,0.6666666666666666
2015-07-31,-0.011676081829523365,0.0013333333333333333,-0.013009415162856698,1.3333333333333333
2015-08-31,0.03409233635711953,0.0009999999999999998,0.03309233635711953,0.9999999999999999
2015-09-30,0.07417181960056071,0.0006666666666666666,0.07350515293389405,0.6666666666666666
2015-10-30,0.038718048495361784,0.0003333333333333333,0.03838471516202845,0.3333333333333333
2015-11-30,-0.01317165741288654,0.0009999999999999998,-0.01417165741288654,0.9999999999999999
2015-12-31,-0.012003563914023688,0.0003333333333333333,-0.012336897247357021,0.3333333333333333
2016-01-29,-0.044416929365305335,0.0006666666666666666,-0.045083596031972005,0.6666666666666666
2016-02-29,-0.030408192517945833,0.001,-0.031408192517945833,1.0
2016-03-31,-0.01652754958322333,0.0009999999999999998,-0.01752754958322333,0.9999999999999999
2016-04-29,0.049306000292806774,0.0009999999999999998,0.048306000292806774,0.9999999999999999
2016-05-31,0.02766857874043662,0.0009999999999999998,0.02666857874043662,0.9999999999999999
2016-06-30,0.02230658859742559,0.0016666666666666666,0.020639921930758923,1.6666666666666665
2016-07-29,-0.03530012439330399,0.0016666666666666668,-0.03696679105997065,1.6666666666666667
2016-08-31,0.04900195968183238,0.0016666666666666668,0.047335293015165716,1.6666666666666667
2016-09-30,-0.035684896430860216,0.0003333333333333333,-0.03601822976419355,0.3333333333333333
2016-10-31,0.010726607774334117,0.0013333333333333335,0.009393274441000783,1.3333333333333335
2016-11-30,0.020274807638302993,0.0013333333333333335,0.01894147430496966,1.3333333333333335
